Year,Units,Territorio,Serie,Mediana de ingresos,Value
2010,Porcentaje,ES70,Serie A,Mediana nacional,22.4
2011,Porcentaje,ES70,Serie A,Mediana nacional,21.5
2012,Porcentaje,ES70,Serie A,Mediana nacional,22.5
2013,Porcentaje,ES70,Serie A,Mediana nacional,19.5
2014,Porcentaje,ES70,Serie A,Mediana nacional,21.7
2015,Porcentaje,ES70,Serie A,Mediana nacional,22.5
2016,Porcentaje,ES70,Serie A,Mediana nacional,21.3
2017,Porcentaje,ES70,Serie A,Mediana nacional,25.5
2018,Porcentaje,ES70,Serie A,Mediana nacional,26.1
2010,Porcentaje,ES70,Serie B,Mediana autonómica,17.6
2011,Porcentaje,ES70,Serie B,Mediana autonómica,14.7
2012,Porcentaje,ES70,Serie B,Mediana autonómica,16.4
2013,Porcentaje,ES70,Serie B,Mediana autonómica,15.9
2014,Porcentaje,ES70,Serie B,Mediana autonómica,17.3
2015,Porcentaje,ES70,Serie B,Mediana autonómica,17.8
2016,Porcentaje,ES70,Serie B,Mediana autonómica,18.0
2017,Porcentaje,ES70,Serie B,Mediana autonómica,17.5
2018,Porcentaje,ES70,Serie B,Mediana autonómica,16.9
2010,Porcentaje,ES,Serie B,Mediana autonómica,13.47
2011,Porcentaje,ES,Serie B,Mediana autonómica,13.0
2012,Porcentaje,ES,Serie B,Mediana autonómica,13.83
2013,Porcentaje,ES,Serie B,Mediana autonómica,13.34
2014,Porcentaje,ES,Serie B,Mediana autonómica,14.85
2015,Porcentaje,ES,Serie B,Mediana autonómica,14.68
2016,Porcentaje,ES,Serie B,Mediana autonómica,14.73
2017,Porcentaje,ES,Serie B,Mediana autonómica,14.66
2018,Porcentaje,ES,Serie B,Mediana autonómica,13.79
2019,Porcentaje,ES,Serie B,Mediana autonómica,13.51
2010,Porcentaje,ES,Serie A,Mediana nacional,13.8
2011,Porcentaje,ES,Serie A,Mediana nacional,13.77
2012,Porcentaje,ES,Serie A,Mediana nacional,14.36
2013,Porcentaje,ES,Serie A,Mediana nacional,13.89
2014,Porcentaje,ES,Serie A,Mediana nacional,15.9
2015,Porcentaje,ES,Serie A,Mediana nacional,15.93
2016,Porcentaje,ES,Serie A,Mediana nacional,15.48
2017,Porcentaje,ES,Serie A,Mediana nacional,15.71
2018,Porcentaje,ES,Serie A,Mediana nacional,14.63
2019,Porcentaje,ES,Serie A,Mediana nacional,13.58
2019,Porcentaje,ES70,Serie A,Mediana nacional,17.6
2019,Porcentaje,ES70,Serie B,Mediana autonómica,14.6
